index,project,unitname,ikkanbangou,kakoukeiretu,tapeNo,length,width,thickness,cut,2ndprocess,machineset,carryout,transmission,transshipment,jyouban,komono,komono + jyoban,deadline,
0,22N1764,YB3A,,3P3,3139,4972,2481,35,19,24,10,5,5,5,0,0,0,2024/12/2/23:00,
1,22N1764,YB3A,,3P3,3162,9121,3234,30,55,43,10,5,5,5,202,0,202,2024/12/2/23:00,
2,22N1764,YB3A,,3P3,3435,10020,3046,24,82,131,10,5,5,5,303,84,387,2024/12/2/23:00,
3,22N1764,YB3A,,3P3,3165,6388,1210,16,10,22,10,5,5,5,18,0,18,2024/12/2/23:00,
4,22N1764,YB3A,,3P3,3166,4000,1522,15,12,25,10,5,5,5,0,4,4,2024/12/2/23:00,
5,22N1764,YB3A,,3P3,3167,4352,1022,12,13,44,10,5,5,5,0,0,0,2024/12/2/23:00,
6,22N1764,YB3A,,3P3,7788,6388,1085,12,10,19,10,5,5,5,0,0,0,2024/12/2/23:00,
7,22N1764,YB3A,,3P3,4328,5658,2200,20,9,17,10,5,5,5,0,0,0,2024/12/2/23:00,
8,22N1764,HA1,,3P3,1927,4376,1020,16,21,40,10,5,5,5,48,0,48,2024/12/3/23:00,
9,22N1764,HA1,,3P3,1926,4775,1598,14,17,60,10,5,5,5,0,12,12,2024/12/3/23:00,
10,22N1764,HA1,,3P3,1931,12098,2540,12,55,81,10,5,5,5,43,22,65,2024/12/3/23:00,
11,22N1764,HA1,,3P3,1940,11169,2540,10,34,40,10,5,5,5,0,0,0,2024/12/3/23:00,
12,22N1764,HA1,,3P3,1934,8976,1928,10,18,17,10,5,5,5,0,0,0,2024/12/3/23:00,
13,22N1764,HA1,,3P3,1942,12149,2185,9,50,100,10,5,5,5,0,11,11,2024/12/3/23:00,
14,22N1764,HA1,,3P3,1943,11516,2079,9,50,81,10,5,5,5,35,7,42,2024/12/3/23:00,
15,22N1764,HA1,,3P3,1941P,9989,2077,9,33,35,10,5,5,5,0,0,0,2024/12/3/23:00,
16,22N1764,HA1,,3P3,1941S,9989,2077,9,33,30,10,5,5,5,0,0,0,2024/12/3/23:00,
17,22N1764,YL4A,,3P3,6745,4000,2149,20,12,23,10,5,5,5,0,0,0,2024/12/4/23:00,
18,22N1764,YL4A,,3P3,6746,5845,2001,16,19,21,10,5,5,5,153,0,153,2024/12/4/23:00,
19,22N1764,YL3F,,3P3,1088,4000,3658,16,14,19,10,5,5,5,59,0,59,2024/12/4/23:00,
20,22N1764,YL3F,,3P3,4375,5831,3658,10.5,23,30,10,5,5,5,0,0,0,2024/12/4/23:00,
21,22N1764,YL3F,,3P3,1092,4000,3628,8.5,12,22,10,5,5,5,0,0,0,2024/12/4/23:00,
22,22N1764,YL3F,,3P3,6633,4000,1923,20,8,20,10,5,5,5,0,0,0,2024/12/4/23:00,
23,22N1764,YL3F,,3P3,6631,5832,2234,16,22,27,10,5,5,5,121,0,121,2024/12/4/23:00,
24,22N1764,BH1,,3P3,2483,5137,1433,20,22,55,10,5,5,5,11,62,73,2024/12/5/23:00,
25,22N1764,BH1,,3P3,2484,10278,3591,17,51,81,10,5,5,5,282,17,299,2024/12/5/23:00,
26,22N1764,BH1,,3P3,2489,8015,2082,14,23,37,10,5,5,5,0,0,0,2024/12/5/23:00,
27,22N1764,BH1,,3P3,2490,4667,1720,14,11,31,10,5,5,5,0,0,0,2024/12/5/23:00,
28,22N1764,BH1,,3P3,2491,7098,1000,12,14,53,10,5,5,5,0,0,0,2024/12/5/23:00,
29,22N1764,BH1,,3P3,2494,4514,1091,11,15,28,10,5,5,5,0,28,28,2024/12/5/23:00,
30,22N1764,BH1,,3P3,2493,4028,1000,11,14,17,10,5,5,5,0,37,37,2024/12/5/23:00,
31,22N1764,BH1,,3P3,2496,5479,1662,9,22,42,10,5,5,5,0,0,0,2024/12/5/23:00,
32,22N1764,BH1,,3P3,2495,10520,1317,9,34,55,10,5,5,5,0,0,0,2024/12/5/23:00,
33,22N1764,BH1,,3P3,2486,4000,1009,16,11,50,10,5,5,5,30,46,76,2024/12/5/23:00,
